Participant ID,Condition,PreErrorRate,PreExcessHitRate,PostErrorRate,PostExcessHitRate,excessHitRateDelta,errorRateDelta,PreMeanAsynchrony,PreMeanRelativeAsynchrony,PreMeanIOIError,PostMeanAsynchrony,PostMeanRelativeAsynchrony,PostMeanIOIError,MeanAsynchronyDelta,MeanRelativeAsynchronyDelta,MeanIOIErrorDelta
1,A,57.29166666666667,10.416666666666668,32.29166666666666,15.625,5.208333333333332,-25.000000000000014,139.3388605442177,36.705729166666686,48.32465277777781,56.78323412698399,1.2668010752688703,24.67261904761903,-82.55562641723373,-35.43892809139781,-23.652033730158777
1,B,32.29166666666666,15.625,27.083333333333343,10.416666666666668,-5.208333333333332,-5.208333333333314,56.78323412698399,1.2668010752688703,24.67261904761903,66.9270833333335,23.439153439153465,23.730158730158703,10.143849206349508,22.172352363884595,-0.942460317460327
1,C,27.083333333333343,10.416666666666668,48.958333333333336,20.833333333333336,10.416666666666668,21.874999999999993,66.9270833333335,23.439153439153465,23.730158730158703,105.681818181818,24.506172839506238,35.59139784946229,38.7547348484845,1.0670194003527733,11.861239119303587
1,D,48.958333333333336,20.833333333333336,50.0,14.583333333333334,-6.250000000000002,1.0416666666666643,105.681818181818,24.506172839506238,35.59139784946229,96.15384615384616,33.79084967320265,32.03389830508469,-9.527972027971842,9.284676833696413,-3.557499544377599
2,A,51.04166666666667,31.25,16.666666666666657,2.083333333333333,-29.166666666666668,-34.375000000000014,65.52117374727666,11.252777777777833,22.997881355932186,33.64197530864216,11.445452508960631,19.141313932980573,-31.879198438634504,0.1926747311827981,-3.8565674229516134
2,B,16.666666666666657,2.083333333333333,12.5,25.0,22.916666666666668,-4.166666666666657,33.64197530864216,11.445452508960631,19.141313932980573,23.654513888888996,7.072310405643793,30.08818342151675,-9.987461419753163,-4.373142103316838,10.946869488536176
2,C,12.5,25.0,3.125,7.291666666666667,-17.708333333333332,-9.375,23.654513888888996,7.072310405643793,30.08818342151675,22.070312499999986,5.476190476190503,24.761904761904795,-1.58420138888901,-1.5961199294532902,-5.326278659611955
2,D,3.125,7.291666666666667,5.208333333333343,0.0,-7.291666666666667,2.083333333333343,22.070312499999986,5.476190476190503,24.761904761904795,31.24999999999997,9.365079365079378,15.87301587301592,9.179687499999986,3.888888888888875,-8.888888888888875
3,A,15.625,30.208333333333332,13.541666666666657,1.0416666666666665,-29.166666666666664,-2.083333333333343,66.90393518518516,10.876294726930363,42.1220400728597,42.6200564971751,11.357758620689662,16.404569892473127,-24.283878688010063,0.4814638937592992,-25.71747018038657
3,B,13.541666666666657,1.0416666666666665,64.58333333333333,1.0416666666666665,0.0,51.04166666666667,42.6200564971751,11.357758620689662,16.404569892473127,61.666666666666785,24.861111111111157,12.266666666666715,19.046610169491686,13.503352490421495,-4.1379032258064115
3,C,64.58333333333333,1.0416666666666665,3.125,1.0416666666666665,0.0,-61.45833333333333,61.666666666666785,24.861111111111157,12.266666666666715,44.92187500000007,17.619047619047638,15.95238095238097,-16.744791666666714,-7.242063492063519,3.685714285714255
3,D,3.125,1.0416666666666665,14.583333333333343,11.458333333333332,10.416666666666666,11.458333333333343,44.92187500000007,17.619047619047638,15.95238095238097,69.17562724014347,24.408014571949042,20.246913580246876,24.2537522401434,6.788966952901404,4.294532627865905
4,A,51.04166666666667,23.958333333333336,22.916666666666657,11.458333333333332,-12.500000000000004,-28.125000000000014,108.81744123931611,9.906726579520747,76.55416666666659,80.24966931216925,21.161794354838726,17.12533602150533,-28.567771927146865,11.255067775317979,-59.428830645161256
4,B,22.916666666666657,11.458333333333332,37.5,22.916666666666664,11.458333333333332,14.583333333333343,80.24966931216925,21.161794354838726,17.12533602150533,72.87735849056618,13.197115384615444,31.160714285714302,-7.372310821603065,-7.964678970223282,14.035378264208973
4,C,37.5,22.916666666666664,36.458333333333336,32.29166666666667,9.375000000000007,-1.0416666666666643,72.87735849056618,13.197115384615444,31.160714285714302,92.65873015873017,17.620967741935534,18.99470899470904,19.781371668163985,4.42385235732009,-12.166005291005263
4,D,36.458333333333336,32.29166666666667,36.458333333333336,23.958333333333336,-8.333333333333336,0.0,92.65873015873017,17.620967741935534,18.99470899470904,69.8164682539686,19.282828282828316,23.661202185792344,-22.84226190476157,1.661860540892782,4.666493191083305
5,A,73.95833333333333,12.5,66.66666666666667,14.583333333333334,2.083333333333334,-7.291666666666657,152.01636904761915,32.2074142156863,85.23674242424246,130.42534722222229,29.851190476190542,76.60493827160492,-21.591021825396865,-2.356223739495757,-8.631804152637542
5,B,66.66666666666667,14.583333333333334,42.708333333333336,17.708333333333336,3.1250000000000018,-23.958333333333336,130.42534722222229,29.851190476190542,76.60493827160492,151.87500000000014,50.18832391713756,28.00546448087436,21.449652777777857,20.337133440947017,-48.59947379073056
5,C,42.708333333333336,17.708333333333336,67.70833333333333,7.291666666666667,-10.416666666666668,24.999999999999993,151.87500000000014,50.18832391713756,28.00546448087436,187.50000000000006,44.369369369369366,71.19047619047618,35.624999999999915,-5.818954547768193,43.18501170960182
