Participant ID,Proficiency,VRExperience,Condition,Order,ErrorRate,ExcessHitRate,CognitiveLoad,Difficulty,MIDIFile,MeanAsynchrony,MeanRelativeAsynchrony,MeanIOIError,BPM,Component
1,0,1,A,2,30.0,10.0,-1.71875,2,60BPM Snare & Hat.mid,52.856182795699006,4.340277777777808,14.764784946236592,60,-1.0
1,0,1,A,2,3.125,0.0,-1.71875,1,60BPM Hat.mid,72.24462365591411,14.430555555555582,9.611111111111056,60,-2.0
1,0,1,A,2,31.25,16.666666666666664,-1.71875,4,60BPM Combined.mid,98.81184895833346,10.44690860215054,24.30107526881718,60,1.0
1,0,1,A,2,35.41666666666666,12.5,-1.71875,5,120BPM Combined.mid,105.44740437158484,30.782986111111114,29.272486772486765,120,2.0
1,0,1,A,2,7.5,5.0,-1.71875,3,60BPM Kick & Hat.mid,57.19401041666671,-6.176075268817189,21.67338709677423,60,0.0
1,0,1,B,4,0.0,0.0,1.28125,1,60BPM Hat.mid,57.552083333333265,-10.48387096774192,4.784946236559142,60,-2.0
1,0,1,B,4,52.5,47.5,1.28125,2,60BPM Snare & Hat.mid,101.07526881720408,9.444444444444464,20.26881720430106,60,-1.0
1,0,1,B,4,22.5,45.0,1.28125,3,60BPM Kick & Hat.mid,96.35416666666677,-5.161290322580612,30.698924731182814,60,0.0
1,0,1,B,4,27.083333333333343,66.66666666666666,1.28125,4,60BPM Combined.mid,86.84895833333337,2.768817204301108,49.35483870967743,60,1.0
1,0,1,B,4,25.0,21.875,1.28125,5,120BPM Combined.mid,47.11371527777787,2.1252204585538275,28.553791887125186,120,2.0
1,0,1,C,1,3.125,3.125,-0.71875,1,60BPM Hat.mid,28.645833333333268,3.0107526881720528,4.462365591397875,60,-2.0
1,0,1,C,1,35.0,5.0,-0.71875,2,60BPM Snare & Hat.mid,66.04938271604937,8.814102564102567,25.925925925925903,60,-1.0
1,0,1,C,1,44.99999999999999,45.0,-0.71875,3,60BPM Kick & Hat.mid,95.83333333333347,10.000000000000044,22.956989247311846,60,0.0
1,0,1,C,1,54.16666666666667,33.33333333333333,-0.71875,4,60BPM Combined.mid,105.37634408602163,1.333333333333317,24.731182795698896,60,1.0
1,0,1,C,1,38.541666666666664,22.916666666666664,-0.71875,5,120BPM Combined.mid,78.97135416666686,12.513227513227562,32.16931216931215,120,2.0
1,0,1,D,3,0.0,0.0,0.28125,1,60BPM Hat.mid,48.697916666666536,-8.279569892473102,4.677419354838691,60,-2.0
1,0,1,D,3,50.0,40.0,0.28125,2,60BPM Snare & Hat.mid,132.03125000000014,2.3655913978494723,13.655913978494649,60,-1.0
1,0,1,D,3,15.0,22.5,0.28125,3,60BPM Kick & Hat.mid,63.02083333333318,-2.7956989247311688,30.322580645161295,60,0.0
1,0,1,D,3,47.916666666666664,62.5,0.28125,4,60BPM Combined.mid,94.35483870967721,1.638888888888913,42.52688172043009,60,1.0
1,0,1,D,3,20.833333333333343,25.0,0.28125,5,120BPM Combined.mid,59.70052083333336,-2.513227513227458,40.42328042328043,120,2.0
2,0,1,A,1,2.5,5.0,2.28125,2,60BPM Snare & Hat.mid,27.94596354166673,4.969758064516143,9.301075268817172,60,-1.0
2,0,1,A,1,17.708333333333343,0.0,2.28125,5,120BPM Combined.mid,39.2774470899471,15.460349462365631,10.264550264550293,120,2.0
2,0,1,A,1,8.333333333333343,31.25,2.28125,4,60BPM Combined.mid,21.98700716845861,-2.9699074074073852,30.793010752688176,60,1.0
2,0,1,A,1,3.125,3.125,2.28125,1,60BPM Hat.mid,40.8266129032259,8.305555555555564,6.861559139784931,60,-2.0
2,0,1,A,1,7.5,2.5,2.28125,3,60BPM Kick & Hat.mid,24.07226562499976,-2.5302419354838683,3.1787634408602243,60,0.0
2,0,1,B,2,6.25,3.125,2.28125,1,60BPM Hat.mid,27.36111111111116,-5.124521072796939,3.5714285714285823,60,-2.0
2,0,1,B,2,5.0,0.0,2.28125,2,60BPM Snare & Hat.mid,36.71874999999988,-5.591397849462338,5.860215053763454,60,-1.0
2,0,1,B,2,2.5,0.0,2.28125,3,60BPM Kick & Hat.mid,33.723958333333215,-6.801075268817181,6.935483870967765,60,0.0
2,0,1,B,2,6.25,12.5,2.28125,4,60BPM Combined.mid,36.067708333333236,-5.994623655913951,12.473118279569873,60,1.0
2,0,1,B,2,10.416666666666657,20.833333333333336,2.28125,5,120BPM Combined.mid,35.25132275132285,14.27419354838713,28.465608465608483,120,2.0
2,0,1,C,3,8.333333333333343,6.25,1.28125,4,60BPM Combined.mid,43.22916666666663,-0.6989247311827745,14.462365591397862,60,1.0
2,0,1,C,3,3.125,9.375,1.28125,5,120BPM Combined.mid,17.708333333333563,4.338624338624387,27.380952380952383,120,2.0
2,0,1,C,3,0.0,3.125,1.28125,1,60BPM Hat.mid,16.666666666666764,0.7526881720430256,4.784946236559124,60,-2.0
2,0,1,C,3,0.0,10.0,1.28125,2,60BPM Snare & Hat.mid,26.692708333333243,-0.8333333333333084,15.053763440860223,60,-1.0
2,0,1,C,3,5.0,0.0,1.28125,3,60BPM Kick & Hat.mid,30.913978494623723,-2.5277777777777755,8.602150537634396,60,0.0
2,0,1,D,4,0.0,3.125,0.28125,1,60BPM Hat.mid,13.54166666666655,-0.26881720430106293,5.215053763440861,60,-2.0
2,0,1,D,4,0.0,2.5,0.28125,2,60BPM Snare & Hat.mid,32.5520833333331,-5.86021505376341,6.397849462365546,60,-1.0
2,0,1,D,4,7.5,2.5,0.28125,3,60BPM Kick & Hat.mid,20.967741935483904,3.1944444444444753,9.500000000000018,60,0.0
2,0,1,D,4,4.166666666666657,2.083333333333333,0.28125,4,60BPM Combined.mid,25.268817204301243,-3.7638888888888986,12.36559139784948,60,1.0
2,0,1,D,4,3.125,0.0,0.28125,5,120BPM Combined.mid,17.187499999999968,1.5343915343915775,24.867724867724878,120,2.0
3,1,2,A,3,0.0,0.0,-2.71875,2,60BPM Snare & Hat.mid,21.53320312499989,1.683467741935501,3.7029569892473413,60,-1.0
3,1,2,A,3,2.083333333333343,2.083333333333333,-2.71875,5,120BPM Combined.mid,39.43820529513886,13.889440035273404,18.792989417989393,120,2.0
3,1,2,A,3,4.166666666666657,0.0,-2.71875,4,60BPM Combined.mid,29.082661290322665,4.774305555555577,6.495295698924757,60,1.0
3,1,2,A,3,3.125,0.0,-2.71875,1,60BPM Hat.mid,31.451612903225936,3.534722222222253,2.7638888888889155,60,-2.0
3,1,2,A,3,2.5,0.0,-2.71875,3,60BPM Kick & Hat.mid,19.472446236559062,-1.5590277777777504,6.061827956989231,60,0.0
3,1,2,B,1,0.0,0.0,0.28125,1,60BPM Hat.mid,41.92708333333327,7.956989247311827,2.7419354838709644,60,-2.0
3,1,2,B,1,37.5,35.0,0.28125,2,60BPM Snare & Hat.mid,86.52777777777773,-7.806513409961662,16.999999999999975,60,-1.0
3,1,2,B,1,2.5,2.5,0.28125,3,60BPM Kick & Hat.mid,27.150537634408586,-1.6388888888888686,15.161290322580626,60,0.0
3,1,2,B,1,2.083333333333343,4.166666666666666,0.28125,4,60BPM Combined.mid,43.619791666666714,-6.478494623655909,26.82795698924732,60,1.0
3,1,2,B,1,12.5,15.625,0.28125,5,120BPM Combined.mid,74.26215277777793,24.250440917107646,20.05291005291008,120,2.0
3,1,2,C,4,0.0,0.0,-1.71875,1,60BPM Hat.mid,74.73958333333339,15.053763440860232,2.043010752688196,60,-2.0
3,1,2,C,4,0.0,0.0,-1.71875,2,60BPM Snare & Hat.mid,39.58333333333348,7.634408602150569,6.048387096774199,60,-1.0
3,1,2,C,4,2.5,0.0,-1.71875,3,60BPM Kick & Hat.mid,43.01075268817209,8.36111111111113,8.413978494623695,60,0.0
3,1,2,C,4,4.166666666666657,0.0,-1.71875,4,60BPM Combined.mid,24.609375000000224,4.112903225806456,8.978494623655891,60,1.0
3,1,2,C,4,5.208333333333343,2.083333333333333,-1.71875,5,120BPM Combined.mid,62.698412698412845,14.67741935483882,13.439153439153431,120,2.0
