,Condition,tErrorRate,pErrorRate,dErrorRate,tExcessHitRate,pExcessHitRate,dExcessHitRate,tAsync,pAsync,dAsync,tRasync,pRasync,dRasync,pIOIError,tIOIError,dIOIError,deltaErrorRate,deltaExcessHitRate,deltaMeanAsynchrony,deltaMeanRelativeAsynchrony,deltaMeanIOIError,preRasync,postRasync
0,A,-5.096648047126124,0.0014047358371231545,-1.8019371977220284,-1.6735398982322764,0.13813589339234672,-0.5916857053131436,-3.536944498158585,0.00950876314943065,-1.2504987196641928,-1.8569803112272247,0.105678893622658,-0.656541685299338,0.010765452228327114,-3.4448997614005075,-1.2179559908971092,-24.088541666666664,-9.505208333333336,-64.90391944987483,-14.620400809350226,-38.40660913398609,26.70914285228118,12.088742042930953
1,B,1.0314669930632323,0.3366368773860793,0.36467865268255456,1.6471728186725412,0.14351521456501015,0.5823635349347566,1.8922987578274078,0.1003357358012461,0.6690286418453202,2.404602930461822,0.04714626230115771,0.8501555190952992,0.6061686239849304,-0.5396529715618603,-0.19079613783943125,8.723958333333336,5.208333333333334,25.214775138078707,16.672250047419556,-3.6791066621283086,12.088742042930953,28.76099209035051
2,C,-0.9014499248637743,0.39730353263866114,-0.31871067738563924,-0.8126650413382088,0.44316681729312357,-0.2873204807817467,-0.5166645018341472,0.6213077736617467,-0.18266848642264746,-1.5871165336277668,0.15650791945479,-0.5611304317307405,0.4335303476064829,0.8307536716712531,0.29371577736718285,-9.375,-2.994791666666666,-8.482039394559791,-7.681071203641956,5.059076091282925,28.76099209035051,21.079920886708553
3,D,-0.02411314250566352,0.9814353485936342,-0.008525283290736126,0.33818849352451935,0.7451375969941778,0.11956768854522522,-1.0975516112582744,0.3087138418636529,-0.38804309351147365,-0.3937378828336669,0.7054927700013813,-0.13920736348086007,0.41331421945342717,-0.8696524431706046,-0.30746856992069155,-0.1302083333333286,0.9114583333333321,-14.865212935017212,-1.7150907140090936,-4.916290344294936,21.079920886708553,19.36483017269946
