Predictor,Estimate,Pred. M ± SE,p-value
Baseline (A),10.88,10.88 ± 3.51,-
Condition A,-1.27,9.61 ± 2.85,0.655
Condition C,-0.26,10.62 ± 2.72,0.923
Condition D,2.18,13.06 ± 2.63,0.407
Component,2.19,-,<.001*
Cognitive Load,3.73,-,<.001*
Group Var,0.5,-,0.097
