Predictor,Estimate,Pred. M ± SE,p-value
Baseline (A),2.8,2.8 ± 2.06,-
Condition A,2.43,5.23 ± 2.44,0.319
Condition C,5.81,8.61 ± 2.35,0.013*
Condition D,4.26,7.06 ± 2.29,0.062
Component,2.33,-,<.001*
Cognitive Load,-0.48,-,0.534
Group Var,0.11,-,0.252
