Predictor,Estimate,Pred. M ± SE,p-value
Baseline (A),23.19,23.19 ± 4.39,-
Condition B,-8.41,14.77 ± 3.28,0.01*
Condition C,-9.35,13.84 ± 2.98,0.002*
Condition D,-7.02,16.17 ± 3.15,0.026*
Component,3.28,-,<.001*
Cognitive Load,-1.43,-,0.264
Group Var,0.66,-,0.125
