Predictor,Estimate,Pred. M ± SE,p-value
Baseline (A),9.61,9.61 ± 3.52,-
Condition B,1.27,10.88 ± 2.85,0.655
Condition C,1.01,10.62 ± 2.64,0.703
Condition D,3.45,13.06 ± 2.76,0.211
Component,2.19,-,<.001*
Cognitive Load,3.73,-,<.001*
Group Var,0.5,-,0.097
